trip_id,load_id,driver_id,truck_id,route_id,customer_id,dispatch_date,actual_distance_miles,actual_duration_hours,fuel_gallons_used,average_mpg,idle_time_hours,total_revenue,actual_fuel_cost,net_trip_margin,revenue_per_mile,flag_anomaly_mpg,flag_excessive_idle
TRIP00000001,LOAD00000001,DRV00117,TRK00035,RTE00019,CUST00183,2022-01-01,1314,26.2,183.8,7.15,3.5,3551.95,779.45,2772.5,2.703158295281583,0,0
TRIP00000002,LOAD00000002,DRV00141,TRK00108,RTE00058,CUST00076,2022-01-01,515,8.6,93.6,5.5,8.3,1323.09,752.7,570.3899999999999,2.569106796116505,0,1
TRIP00000003,LOAD00000003,DRV00032,TRK00031,RTE00048,CUST00027,2022-01-01,2509,45.0,339.1,7.4,12.0,7964.0,3796.39,4167.610000000001,3.1741729772817857,0,0
TRIP00000004,LOAD00000004,DRV00083,TRK00105,RTE00013,CUST00088,2022-01-01,717,11.1,110.3,6.5,9.6,1499.53,0.0,1499.53,2.09139470013947,0,1
TRIP00000005,LOAD00000005,DRV00044,TRK00076,RTE00020,CUST00185,2022-01-01,2243,35.0,328.9,6.82,11.6,4055.66,512.53,3543.13,1.808140882746322,0,1
TRIP00000006,LOAD00000006,DRV00120,TRK00062,RTE00004,CUST00193,2022-01-01,1977,39.4,358.8,5.51,6.6,4041.01,3311.07,729.94,2.0440111279716744,0,0
TRIP00000007,LOAD00000007,DRV00055,TRK00002,RTE00038,CUST00169,2022-01-01,1350,20.9,230.8,5.85,2.3,4337.1,402.34,3934.76,3.212666666666667,0,0
TRIP00000008,LOAD00000008,DRV00065,TRK00035,RTE00016,CUST00049,2022-01-01,2748,50.5,437.6,6.28,10.5,6478.83,581.66,5897.17,2.3576528384279474,0,0
TRIP00000009,LOAD00000009,DRV00129,TRK00014,RTE00025,CUST00075,2022-01-01,3226,51.4,465.5,6.93,4.1,5474.8,0.0,5474.8,1.6970861748295103,0,0
TRIP00000010,LOAD00000010,DRV00029,TRK00116,RTE00025,CUST00079,2022-01-01,3388,60.2,460.3,7.36,5.7,6338.77,0.0,6338.77,1.87094746162928,0,0
TRIP00000011,LOAD00000011,DRV00132,TRK00085,RTE00058,CUST00127,2022-01-01,538,9.9,72.2,7.45,4.9,1305.1999999999998,499.18,806.0199999999998,2.4260223048327134,0,1
TRIP00000012,LOAD00000012,DRV00088,TRK00039,RTE00052,CUST00052,2022-01-01,861,14.3,150.3,5.73,6.7,1596.7600000000002,2219.3,-622.54,1.8545412311265972,0,1
TRIP00000013,LOAD00000013,DRV00070,TRK00086,RTE00002,CUST00168,2022-01-01,689,12.4,112.0,6.15,3.6,1745.12,1912.56,-167.44000000000005,2.5328301886792453,0,0
TRIP00000014,LOAD00000014,DRV00009,TRK00052,RTE00032,CUST00049,2022-01-01,2255,35.0,377.1,5.98,8.7,5475.47,1136.97,4338.5,2.428146341463415,0,0
TRIP00000015,LOAD00000015,DRV00071,TRK00120,RTE00006,CUST00089,2022-01-01,684,11.4,92.9,7.36,4.4,1525.22,360.45,1164.77,2.2298538011695905,0,1
TRIP00000016,LOAD00000016,DRV00036,TRK00054,RTE00015,CUST00032,2022-01-01,97,1.9,14.7,6.62,8.8,238.5,0.0,238.5,2.4587628865979383,0,1
TRIP00000017,LOAD00000017,DRV00094,TRK00049,RTE00054,CUST00022,2022-01-01,1571,25.5,209.7,7.49,2.3,3892.67,1533.4900000000002,2359.18,2.4778294080203693,0,0
TRIP00000018,LOAD00000018,DRV00125,TRK00080,RTE00038,CUST00093,2022-01-01,1405,25.8,192.5,7.3,5.9,4087.6299999999997,2281.23,1806.3999999999996,2.909345195729537,0,0
TRIP00000019,LOAD00000019,DRV00142,TRK00040,RTE00012,CUST00092,2022-01-01,2554,44.7,387.6,6.59,3.7,6463.82,1380.4499999999998,5083.37,2.530861393891934,0,0
TRIP00000020,LOAD00000020,DRV00118,TRK00010,RTE00001,CUST00029,2022-01-01,664,10.3,92.6,7.17,8.1,1349.3600000000001,566.56,782.8000000000002,2.0321686746987955,0,1
TRIP00000021,LOAD00000021,DRV00066,TRK00058,RTE00042,CUST00047,2022-01-01,2800,48.0,443.0,6.32,6.1,7015.67,1478.94,5536.73,2.5055964285714287,0,0
TRIP00000022,LOAD00000022,DRV00114,TRK00078,RTE00009,CUST00018,2022-01-01,883,14.6,154.1,5.73,9.7,1954.05,1013.6800000000001,940.3699999999999,2.2129671574178933,0,1
TRIP00000023,LOAD00000023,DRV00117,TRK00026,RTE00048,CUST00007,2022-01-01,2495,46.4,379.8,6.57,9.8,6389.87,785.07,5604.8,2.561070140280561,0,0
TRIP00000024,LOAD00000024,DRV00082,TRK00001,RTE00035,CUST00041,2022-01-01,1272,19.9,200.9,6.33,3.9,2391.54,1597.44,794.0999999999999,1.8801415094339622,0,0
TRIP00000025,LOAD00000025,DRV00053,TRK00018,RTE00034,CUST00036,2022-01-01,2415,41.3,372.1,6.49,9.7,5272.17,1963.08,3309.09,2.1830931677018635,0,0
TRIP00000026,LOAD00000026,DRV00102,TRK00076,RTE00022,CUST00033,2022-01-01,564,9.4,92.2,6.12,3.1,1253.51,1721.45,-467.94000000000005,2.222535460992908,0,1
TRIP00000027,LOAD00000027,DRV00050,TRK00019,RTE00058,CUST00065,2022-01-01,522,8.3,82.9,6.3,6.6,1393.74,2996.05,-1602.3100000000002,2.67,0,1
TRIP00000028,LOAD00000028,DRV00114,TRK00111,RTE00004,CUST00073,2022-01-01,1979,34.2,333.2,5.94,4.3,4555.01,2343.8,2211.21,2.3016725618999496,0,0
TRIP00000029,LOAD00000029,DRV00139,TRK00024,RTE00026,CUST00055,2022-01-01,2006,32.7,268.5,7.47,2.0,3616.18,440.83,3175.35,1.8026819541375871,0,0
TRIP00000030,LOAD00000030,DRV00088,TRK00076,RTE00010,CUST00136,2022-01-01,91,1.6,16.0,5.7,9.7,382.24,249.58,132.66,4.200439560439561,0,1
TRIP00000031,LOAD00000031,DRV00036,TRK00071,RTE00042,CUST00135,2022-01-01,2615,48.0,418.4,6.25,10.6,5958.26,1923.42,4034.84,2.2784933078393883,0,0
TRIP00000032,LOAD00000032,DRV00085,TRK00069,RTE00006,CUST00076,2022-01-01,700,11.9,106.5,6.57,6.6,1630.88,3467.29,-1836.4099999999999,2.3298285714285716,0,1
TRIP00000033,LOAD00000033,DRV00083,TRK00064,RTE00033,CUST00029,2022-01-01,176,3.2,24.8,7.11,6.1,437.72999999999996,641.7,-203.97000000000008,2.4871022727272725,0,1
TRIP00000034,LOAD00000034,DRV00053,TRK00054,RTE00034,CUST00079,2022-01-01,2464,40.9,393.6,6.26,11.9,6203.96,1208.96,4995.0,2.5178409090909093,0,0
TRIP00000035,LOAD00000035,DRV00113,TRK00009,RTE00026,CUST00016,2022-01-01,2054,32.7,301.6,6.81,5.1,3964.06,1405.54,2558.52,1.9299221032132425,0,0
TRIP00000036,LOAD00000036,DRV00124,TRK00038,RTE00020,CUST00081,2022-01-01,2285,42.8,344.1,6.64,6.9,4993.959999999999,0.0,4993.959999999999,2.1855404814004373,0,0
TRIP00000037,LOAD00000037,DRV00018,TRK00085,RTE00055,CUST00102,2022-01-01,1535,26.5,250.0,6.14,10.9,4205.37,1119.23,3086.14,2.739654723127036,0,1
TRIP00000038,LOAD00000038,DRV00033,TRK00089,RTE00022,CUST00119,2022-01-01,598,9.6,95.8,6.24,11.0,1355.95,399.19,956.76,2.2674749163879597,0,1
TRIP00000039,LOAD00000039,DRV00112,TRK00062,RTE00025,CUST00044,2022-01-01,3143,57.7,560.2,5.61,6.5,5977.41,1164.59,4812.82,1.9018167356029272,0,0
TRIP00000040,LOAD00000040,DRV00044,TRK00001,RTE00016,CUST00114,2022-01-01,2835,45.5,400.4,7.08,7.0,6513.09,1717.57,4795.52,2.2973862433862435,0,0
TRIP00000041,LOAD00000041,DRV00124,TRK00020,RTE00007,CUST00017,2022-01-01,1627,32.0,222.0,7.33,6.7,4913.799999999999,2729.92,2183.879999999999,3.0201598033189914,0,0
TRIP00000042,LOAD00000042,DRV00020,TRK00089,RTE00033,CUST00027,2022-01-01,164,3.1,24.8,6.61,11.5,470.66999999999996,673.83,-203.16000000000008,2.8699390243902436,0,1
TRIP00000043,LOAD00000043,DRV00026,TRK00010,RTE00042,CUST00185,2022-01-01,2583,48.6,467.9,5.52,11.7,7638.4800000000005,762.53,6875.950000000001,2.9572125435540073,0,0
TRIP00000044,LOAD00000044,DRV00102,TRK00079,RTE00056,CUST00190,2022-01-01,1796,34.8,326.0,5.51,7.8,4729.34,847.71,3881.63,2.6332628062360803,0,0
TRIP00000045,LOAD00000045,DRV00117,TRK00061,RTE00031,CUST00060,2022-01-01,658,11.4,89.9,7.32,6.9,1582.8999999999999,404.17,1178.7299999999998,2.405623100303951,0,1
TRIP00000046,LOAD00000046,DRV00020,TRK00007,RTE00033,CUST00038,2022-01-01,176,3.0,29.6,5.95,9.9,589.81,588.02,1.7899999999999636,3.3511931818181817,0,1
TRIP00000047,LOAD00000047,DRV00023,TRK00015,RTE00020,CUST00109,2022-01-01,2159,34.7,290.6,7.43,5.1,4723.08,733.48,3989.6,2.187623899953682,0,0
TRIP00000048,LOAD00000048,DRV00085,TRK00058,RTE00053,CUST00185,2022-01-01,818,16.3,110.7,7.39,2.7,2130.1,2263.84,-133.74000000000024,2.6040342298288506,0,0
TRIP00000049,LOAD00000049,DRV00089,TRK00090,RTE00041,CUST00003,2022-01-01,1304,23.8,177.9,7.33,3.1,3426.19,2516.84,909.3499999999999,2.627446319018405,0,0
TRIP00000050,LOAD00000050,DRV00148,TRK00050,RTE00036,CUST00137,2022-01-01,266,4.5,39.1,6.81,8.8,822.94,1941.38,-1118.44,3.093759398496241,0,1
TRIP00000051,LOAD00000051,DRV00134,TRK00026,RTE00053,CUST00114,2022-01-01,788,13.3,121.0,6.51,6.7,2118.31,603.3,1515.01,2.688210659898477,0,1
TRIP00000052,LOAD00000052,DRV00065,TRK00004,RTE00043,CUST00065,2022-01-01,1614,31.5,255.8,6.31,4.6,3008.62,0.0,3008.62,1.8640768277571251,0,0
TRIP00000053,LOAD00000053,DRV00148,TRK00024,RTE00053,CUST00039,2022-01-01,764,14.8,121.9,6.27,8.3,2056.89,1348.51,708.3799999999999,2.6922643979057588,0,1
TRIP00000054,LOAD00000054,DRV00047,TRK00063,RTE00045,CUST00101,2022-01-01,598,9.7,80.2,7.46,4.6,1745.87,774.97,970.8999999999999,2.919515050167224,0,1
TRIP00000055,LOAD00000055,DRV00085,TRK00004,RTE00042,CUST00030,2022-01-01,2615,40.9,386.8,6.76,10.6,6764.280000000001,2526.2799999999997,4238.000000000001,2.5867227533460806,0,0
