trip_id,load_id,driver_id,truck_id,route_id,customer_id,dispatch_date,dispatch_year,dispatch_month,dispatch_day_of_week,is_weekend,booking_type,actual_distance_miles,actual_duration_hours,total_revenue,actual_fuel_cost,allocated_maint_cost,true_total_cost,true_net_profit,revenue_per_mile,true_cost_per_mile,average_mpg,idle_time_hours,flag_anomaly_mpg,flag_excessive_idle
TRIP00000001,LOAD00000001,DRV00117,TRK00035,RTE00019,CUST00183,2022-01-01,2022,1,Saturday,1,Spot,1314,26.2,3551.95,779.45,61.64065603146831,841.0906560314684,2710.8593439685314,2.703158295281583,0.6400994338139029,7.15,3.5,0,0
TRIP00000002,LOAD00000002,DRV00141,TRK00108,RTE00058,CUST00076,2022-01-01,2022,1,Saturday,1,Dedicated,515,8.6,1323.09,752.7,24.15900902298796,776.859009022988,546.230990977012,2.569106796116505,1.508464095190268,5.5,8.3,0,1
TRIP00000003,LOAD00000003,DRV00032,TRK00031,RTE00048,CUST00027,2022-01-01,2022,1,Saturday,1,Spot,2509,45.0,7964.0,3796.39,117.69893910422678,3914.0889391042265,4049.9110608957735,3.1741729772817857,1.5600195054221708,7.4,12.0,0,0
TRIP00000004,LOAD00000004,DRV00083,TRK00105,RTE00013,CUST00088,2022-01-01,2022,1,Saturday,1,Spot,717,11.1,1499.53,0.0,33.63496984365508,33.63496984365508,1465.895030156345,2.09139470013947,0.04691069713201545,6.5,9.6,0,1
TRIP00000005,LOAD00000005,DRV00044,TRK00076,RTE00020,CUST00185,2022-01-01,2022,1,Saturday,1,Spot,2243,35.0,4055.66,512.53,105.22069366711067,617.7506936671107,3437.909306332889,1.808140882746322,0.27541270337365614,6.82,11.6,0,1
TRIP00000006,LOAD00000006,DRV00120,TRK00062,RTE00004,CUST00193,2022-01-01,2022,1,Saturday,1,Spot,1977,39.4,4041.01,3311.07,92.74244822999455,3403.8124482299945,637.1975517700057,2.0440111279716744,1.7217058412898303,5.51,6.6,0,0
TRIP00000007,LOAD00000007,DRV00055,TRK00002,RTE00038,CUST00169,2022-01-01,2022,1,Saturday,1,Contract,1350,20.9,4337.1,402.34,63.329441128220864,465.66944112822085,3871.4305588717793,3.212666666666667,0.3449403267616451,5.85,2.3,0,0
TRIP00000008,LOAD00000008,DRV00065,TRK00035,RTE00016,CUST00049,2022-01-01,2022,1,Saturday,1,Spot,2748,50.5,6478.83,581.66,128.91059571877847,710.5705957187785,5768.259404281222,2.3576528384279474,0.2585773637986821,6.28,10.5,0,0
TRIP00000009,LOAD00000009,DRV00129,TRK00014,RTE00025,CUST00075,2022-01-01,2022,1,Saturday,1,Dedicated,3226,51.4,5474.8,0.0,151.33390894788187,151.33390894788187,5323.466091052118,1.6970861748295103,0.046910697132015455,6.93,4.1,0,0
TRIP00000010,LOAD00000010,DRV00029,TRK00116,RTE00025,CUST00079,2022-01-01,2022,1,Saturday,1,Dedicated,3388,60.2,6338.77,0.0,158.93344188326836,158.93344188326836,6179.836558116732,1.87094746162928,0.046910697132015455,7.36,5.7,0,0
TRIP00000011,LOAD00000011,DRV00132,TRK00085,RTE00058,CUST00127,2022-01-01,2022,1,Saturday,1,Contract,538,9.9,1305.1999999999998,499.18,25.237955057024315,524.4179550570243,780.7820449429755,2.4260223048327134,0.9747545633030191,7.45,4.9,0,1
TRIP00000012,LOAD00000012,DRV00088,TRK00039,RTE00052,CUST00052,2022-01-01,2022,1,Saturday,1,Spot,861,14.3,1596.7600000000002,2219.3,40.39011023066531,2259.6901102306656,-662.9301102306654,1.8545412311265972,2.6244949015454884,5.73,6.7,0,1
TRIP00000013,LOAD00000013,DRV00070,TRK00086,RTE00002,CUST00168,2022-01-01,2022,1,Saturday,1,Dedicated,689,12.4,1745.12,1912.56,32.32147032395865,1944.8814703239586,-199.76147032395875,2.5328301886792453,2.822759753735789,6.15,3.6,0,0
TRIP00000014,LOAD00000014,DRV00009,TRK00052,RTE00032,CUST00049,2022-01-01,2022,1,Saturday,1,Dedicated,2255,35.0,5475.47,1136.97,105.78362203269485,1242.753622032695,4232.716377967306,2.428146341463415,0.5511102536730355,5.98,8.7,0,0
TRIP00000015,LOAD00000015,DRV00071,TRK00120,RTE00006,CUST00089,2022-01-01,2022,1,Saturday,1,Dedicated,684,11.4,1525.22,360.45,32.08691683829857,392.53691683829857,1132.6830831617015,2.2298538011695905,0.5738843813425417,7.36,4.4,0,1
TRIP00000016,LOAD00000016,DRV00036,TRK00054,RTE00015,CUST00032,2022-01-01,2022,1,Saturday,1,Dedicated,97,1.9,238.5,0.0,4.550337621805499,4.550337621805499,233.9496623781945,2.4587628865979383,0.046910697132015455,6.62,8.8,0,1
TRIP00000017,LOAD00000017,DRV00094,TRK00049,RTE00054,CUST00022,2022-01-01,2022,1,Saturday,1,Dedicated,1571,25.5,3892.67,1533.4900000000002,73.69670519439629,1607.1867051943966,2285.4832948056037,2.4778294080203693,1.0230341853560767,7.49,2.3,0,0
TRIP00000018,LOAD00000018,DRV00125,TRK00080,RTE00038,CUST00093,2022-01-01,2022,1,Saturday,1,Dedicated,1405,25.8,4087.6299999999997,2281.23,65.90952947048171,2347.1395294704816,1740.490470529518,2.909345195729537,1.670561942683617,7.3,5.9,0,0
