truck_id,unit_number,make,model_year,vin,acquisition_date,acquisition_mileage,fuel_type,tank_capacity_gallons,status,home_terminal,total_maintenance_cost,total_downtime_hours,maintenance_events_count
TRK00001,3463,Peterbilt,2016,1VV205190335317039,2017-04-27,18814,Diesel,200,Active,Omaha,51775.99,713.2,24
TRK00002,6461,Kenworth,2015,1NV753749606229960,2018-10-04,26795,Diesel,150,Active,Seattle,54869.04,665.3,27
TRK00003,2335,Peterbilt,2018,1NT803101860493229,2020-09-17,11795,Diesel,150,Maintenance,Atlanta,90161.42,1133.1,41
TRK00004,3317,Freightliner,2015,1VV131945381692351,2017-06-17,8875,Diesel,200,Active,Salt Lake City,38561.82,483.2,22
TRK00005,6731,Freightliner,2016,1FT822215709701985,2021-10-08,42042,Diesel,250,Maintenance,Miami,66088.45,750.6,33
TRK00006,6082,Kenworth,2017,1VV963516965177788,2018-05-12,47794,Diesel,150,Active,Minneapolis,50780.83,587.7,26
TRK00007,7421,Volvo,2019,1MV134100489809236,2020-01-29,42328,Diesel,200,Active,Charlotte,25868.97,415.7,20
TRK00008,3112,Mack,2015,1MV426140684859204,2015-01-27,27548,Diesel,150,Active,Houston,33024.74,483.0,19
TRK00009,2388,International,2015,1VU871233565012431,2016-11-04,24540,Diesel,250,Active,Denver,40333.84,522.3,19
TRK00010,6072,Volvo,2015,1MU182160377362421,2017-12-11,25066,Diesel,200,Active,Columbus,50406.72,603.1,25
TRK00011,7171,Freightliner,2015,1FT567947164925037,2021-01-06,29395,Diesel,200,Active,Portland,46464.63,656.6,23
TRK00012,6381,Freightliner,2015,1MU483021764762154,2017-02-08,24739,Diesel,250,Active,Las Vegas,40327.38,450.1,21
TRK00013,3093,Volvo,2018,1NU908806171429154,2020-10-25,24618,Diesel,250,Active,Phoenix,57951.159999999996,868.5,34
TRK00014,9624,International,2015,1VV247228896414388,2019-04-11,5259,Diesel,150,Active,Nashville,71801.82,940.4,34
TRK00015,2531,International,2015,1VV219552826957760,2017-02-12,44743,Diesel,200,Active,Memphis,33711.95,562.5,21
TRK00016,7937,Freightliner,2015,1VT237947763097353,2015-05-26,43371,Diesel,150,Active,Nashville,36448.05,437.09999999999997,18
TRK00017,9331,Mack,2017,1VU258614207044782,2017-07-06,35343,Diesel,200,Maintenance,Portland,46265.840000000004,510.0,20
TRK00018,6928,International,2015,1FT570778303307847,2016-02-16,8715,Diesel,150,Active,Dallas,42430.74,664.5,25
TRK00019,1298,International,2015,1NT468662011712903,2021-02-13,42830,Diesel,200,Active,Omaha,28662.15,337.1,16
TRK00020,6940,Kenworth,2015,1VT279404061535276,2017-07-25,22791,Diesel,250,Active,Kansas City,56990.95,711.8,27
TRK00021,6060,Mack,2018,1MV661551799038494,2018-07-11,7774,Diesel,150,Inactive,Detroit,38803.04,641.1,21
TRK00022,3953,Kenworth,2017,1VU201382802563540,2018-03-13,11696,Diesel,200,Inactive,Houston,48894.75,592.1,26
TRK00023,4509,Peterbilt,2015,1MV342228599481462,2019-07-09,35209,Diesel,200,Active,Milwaukee,49365.87,600.7,26
TRK00024,6598,Volvo,2015,1VT416775529985868,2018-04-08,25759,Diesel,150,Active,Dallas,42592.229999999996,705.5,22
TRK00025,8967,Freightliner,2018,1MV857192659408369,2020-02-13,34658,Diesel,250,Active,Dallas,44082.12,570.1,23
TRK00026,4145,International,2021,1MU109206419984555,2021-02-23,8345,Diesel,250,Active,Miami,70708.48,787.9,32
TRK00027,4711,Peterbilt,2015,1FU919098643889893,2016-04-12,47700,Diesel,150,Maintenance,New York,44230.56,599.3,24
TRK00028,3253,Kenworth,2015,1VU150939883819521,2020-09-21,14594,Diesel,150,Maintenance,Portland,43892.35,439.1,19
TRK00029,3538,International,2016,1MT732548052826703,2016-01-20,227,Diesel,200,Active,Milwaukee,39776.71,540.1,23
TRK00030,2264,Volvo,2015,1NU424938126853269,2016-04-14,49556,Diesel,200,Active,Salt Lake City,53327.96,679.5,28
TRK00031,5846,Kenworth,2018,1FU607053119824892,2019-10-30,1489,Diesel,250,Active,New York,51097.4,579.5,24
TRK00032,2657,Mack,2015,1VV787975078730489,2018-01-31,19553,Diesel,250,Maintenance,Oklahoma City,68762.34,814.3000000000001,31
TRK00033,9317,Mack,2015,1FT208855839098628,2018-01-24,30343,Diesel,250,Active,Portland,67514.43000000001,908.2,32
TRK00034,9843,Freightliner,2015,1MU728063113988930,2020-05-07,44138,Diesel,150,Maintenance,Seattle,52843.72,710.8,31
TRK00035,9626,International,2015,1VT778313629938960,2019-05-10,47126,Diesel,150,Active,Denver,40952.3,516.8,19
TRK00036,1618,Peterbilt,2020,1MV151007204500818,2020-11-06,35680,Diesel,150,Active,Los Angeles,27522.41,323.9,14
TRK00037,6517,Freightliner,2018,1FT474970889663627,2020-05-12,27795,Diesel,250,Maintenance,Dallas,41154.92,582.6,21
TRK00038,3147,International,2015,1MV267690370888657,2019-02-18,34860,Diesel,250,Active,Atlanta,68989.14,796.4,31
TRK00039,7172,International,2015,1NU790256784273010,2019-10-16,24856,Diesel,250,Active,Detroit,47581.13,557.0,24
TRK00040,3527,International,2015,1VT932401669552606,2020-01-22,15051,Diesel,250,Active,Minneapolis,67557.74,665.1,26
TRK00041,3658,International,2015,1VV671184850440720,2015-04-01,16220,Diesel,150,Active,Denver,59685.24,524.7,25
TRK00042,3962,International,2019,1MV437535307599343,2020-04-15,30187,Diesel,200,Maintenance,Omaha,48687.47,496.4,23
TRK00043,3712,Freightliner,2019,1MT472942182331015,2021-02-27,22685,Diesel,150,Active,Miami,40867.47,488.6,19
TRK00044,8170,Volvo,2015,1FU446413094240484,2020-01-07,10166,Diesel,200,Active,Los Angeles,69825.23,1080.4,38
TRK00045,1715,Volvo,2015,1FV398961826922119,2016-06-18,18064,Diesel,200,Active,New York,45247.090000000004,571.2,23
TRK00046,7731,Freightliner,2015,1NV756988482935978,2016-10-19,12352,Diesel,150,Inactive,Dallas,57517.48,974.5,29
TRK00047,6968,Mack,2015,1MT808220883834648,2015-09-06,47515,Diesel,150,Maintenance,Phoenix,28243.39,397.2,16
TRK00048,4891,Volvo,2015,1MT866431853044978,2015-07-04,7395,Diesel,150,Active,Las Vegas,43187.16,583.2,20
TRK00049,8277,Peterbilt,2015,1NT223732426577573,2016-12-20,2111,Diesel,250,Active,Minneapolis,33245.43,339.8,16
